asset,slot_key,slot_start_ts,slot_end_ts,slot_start_utc,polymarket_resolution,kalshi_resolution,polymarket_settlement_value_usd,kalshi_settlement_value_usd,source,outcome_mismatch,fatal_poly_up_kalshi_no,fatal_poly_down_kalshi_yes,polymarket_benchmark_conflict,kalshi_benchmark_conflict
xrp,xrp:1784313000000,1784313000000,1784313900000,2026-07-17T18:30:00Z,DOWN,NO,,1.0879,official-venue-resolution,f,f,f,f,f
btc,btc:1784313900000,1784313900000,1784314800000,2026-07-17T18:45:00Z,UP,YES,,64226.76,official-venue-resolution,f,f,f,f,f
doge,doge:1784313900000,1784313900000,1784314800000,2026-07-17T18:45:00Z,UP,YES,,0.072765,official-venue-resolution,f,f,f,f,f
eth,eth:1784313900000,1784313900000,1784314800000,2026-07-17T18:45:00Z,UP,YES,,1846.5,official-venue-resolution,f,f,f,f,f
sol,sol:1784313900000,1784313900000,1784314800000,2026-07-17T18:45:00Z,UP,YES,,75.2938,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784313900000,1784313900000,1784314800000,2026-07-17T18:45:00Z,UP,YES,,1.092,official-venue-resolution,f,f,f,f,f
btc,btc:1784314800000,1784314800000,1784315700000,2026-07-17T19:00:00Z,DOWN,NO,,64052.86,official-venue-resolution,f,f,f,f,f
doge,doge:1784314800000,1784314800000,1784315700000,2026-07-17T19:00:00Z,DOWN,NO,,0.072516,official-venue-resolution,f,f,f,f,f
eth,eth:1784314800000,1784314800000,1784315700000,2026-07-17T19:00:00Z,DOWN,NO,,1839.62,official-venue-resolution,f,f,f,f,f
sol,sol:1784314800000,1784314800000,1784315700000,2026-07-17T19:00:00Z,DOWN,NO,,75.007,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784314800000,1784314800000,1784315700000,2026-07-17T19:00:00Z,DOWN,NO,,1.0884,official-venue-resolution,f,f,f,f,f
btc,btc:1784315700000,1784315700000,1784316600000,2026-07-17T19:15:00Z,UP,NO,,64046,official-venue-resolution,t,f,t,f,f
doge,doge:1784315700000,1784315700000,1784316600000,2026-07-17T19:15:00Z,UP,YES,,0.0725472,official-venue-resolution,f,f,f,f,f
eth,eth:1784315700000,1784315700000,1784316600000,2026-07-17T19:15:00Z,UP,YES,,1839.8,official-venue-resolution,f,f,f,f,f
sol,sol:1784315700000,1784315700000,1784316600000,2026-07-17T19:15:00Z,UP,NO,,74.9958,official-venue-resolution,t,f,t,f,f
xrp,xrp:1784315700000,1784315700000,1784316600000,2026-07-17T19:15:00Z,DOWN,NO,,1.087,official-venue-resolution,f,f,f,f,f
btc,btc:1784316600000,1784316600000,1784317500000,2026-07-17T19:30:00Z,UP,YES,,64144.23,official-venue-resolution,f,f,f,f,f
doge,doge:1784316600000,1784316600000,1784317500000,2026-07-17T19:30:00Z,UP,YES,,0.0726083,official-venue-resolution,f,f,f,f,f
eth,eth:1784316600000,1784316600000,1784317500000,2026-07-17T19:30:00Z,UP,YES,,1844.08,official-venue-resolution,f,f,f,f,f
sol,sol:1784316600000,1784316600000,1784317500000,2026-07-17T19:30:00Z,UP,YES,,75.129,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784316600000,1784316600000,1784317500000,2026-07-17T19:30:00Z,UP,YES,,1.0902,official-venue-resolution,f,f,f,f,f
btc,btc:1784317500000,1784317500000,1784318400000,2026-07-17T19:45:00Z,DOWN,NO,,64126.82,official-venue-resolution,f,f,f,f,f
doge,doge:1784317500000,1784317500000,1784318400000,2026-07-17T19:45:00Z,DOWN,NO,,0.0726057,official-venue-resolution,f,f,f,f,f
eth,eth:1784317500000,1784317500000,1784318400000,2026-07-17T19:45:00Z,DOWN,NO,,1842.85,official-venue-resolution,f,f,f,f,f
sol,sol:1784317500000,1784317500000,1784318400000,2026-07-17T19:45:00Z,UP,YES,,75.1893,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784317500000,1784317500000,1784318400000,2026-07-17T19:45:00Z,UP,YES,,1.0912,official-venue-resolution,f,f,f,f,f
btc,btc:1784318400000,1784318400000,1784319300000,2026-07-17T20:00:00Z,DOWN,NO,,63981.07,official-venue-resolution,f,f,f,f,f
doge,doge:1784318400000,1784318400000,1784319300000,2026-07-17T20:00:00Z,DOWN,NO,,0.0725285,official-venue-resolution,f,f,f,f,f
eth,eth:1784318400000,1784318400000,1784319300000,2026-07-17T20:00:00Z,DOWN,NO,,1838.07,official-venue-resolution,f,f,f,f,f
sol,sol:1784318400000,1784318400000,1784319300000,2026-07-17T20:00:00Z,DOWN,NO,,74.9665,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784318400000,1784318400000,1784319300000,2026-07-17T20:00:00Z,DOWN,NO,,1.0891,official-venue-resolution,f,f,f,f,f
btc,btc:1784319300000,1784319300000,1784320200000,2026-07-17T20:15:00Z,UP,YES,,64028.67,official-venue-resolution,f,f,f,f,f
doge,doge:1784319300000,1784319300000,1784320200000,2026-07-17T20:15:00Z,DOWN,NO,,0.0724227,official-venue-resolution,f,f,f,f,f
eth,eth:1784319300000,1784319300000,1784320200000,2026-07-17T20:15:00Z,UP,YES,,1840.1,official-venue-resolution,f,f,f,f,f
sol,sol:1784319300000,1784319300000,1784320200000,2026-07-17T20:15:00Z,UP,YES,,75.0312,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784319300000,1784319300000,1784320200000,2026-07-17T20:15:00Z,DOWN,NO,,1.0882,official-venue-resolution,f,f,f,f,f
btc,btc:1784320200000,1784320200000,1784321100000,2026-07-17T20:30:00Z,UP,YES,,64035.8,official-venue-resolution,f,f,f,f,f
doge,doge:1784320200000,1784320200000,1784321100000,2026-07-17T20:30:00Z,UP,NO,,0.0723626,official-venue-resolution,t,f,t,f,f
eth,eth:1784320200000,1784320200000,1784321100000,2026-07-17T20:30:00Z,UP,NO,,1839.59,official-venue-resolution,t,f,t,f,f
sol,sol:1784320200000,1784320200000,1784321100000,2026-07-17T20:30:00Z,DOWN,NO,,74.9675,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784320200000,1784320200000,1784321100000,2026-07-17T20:30:00Z,DOWN,NO,,1.0875,official-venue-resolution,f,f,f,f,f
btc,btc:1784321100000,1784321100000,1784322000000,2026-07-17T20:45:00Z,UP,YES,,64090.83,official-venue-resolution,f,f,f,f,f
doge,doge:1784321100000,1784321100000,1784322000000,2026-07-17T20:45:00Z,UP,YES,,0.0726443,official-venue-resolution,f,f,f,f,f
eth,eth:1784321100000,1784321100000,1784322000000,2026-07-17T20:45:00Z,UP,YES,,1841.78,official-venue-resolution,f,f,f,f,f
sol,sol:1784321100000,1784321100000,1784322000000,2026-07-17T20:45:00Z,UP,YES,,75.0518,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784321100000,1784321100000,1784322000000,2026-07-17T20:45:00Z,UP,YES,,1.0881,official-venue-resolution,f,f,f,f,f
btc,btc:1784322000000,1784322000000,1784322900000,2026-07-17T21:00:00Z,UP,YES,,64134.09,official-venue-resolution,f,f,f,f,f
doge,doge:1784322000000,1784322000000,1784322900000,2026-07-17T21:00:00Z,UP,YES,,0.0727673,official-venue-resolution,f,f,f,f,f
eth,eth:1784322000000,1784322000000,1784322900000,2026-07-17T21:00:00Z,UP,YES,,1843.8,official-venue-resolution,f,f,f,f,f
sol,sol:1784322000000,1784322000000,1784322900000,2026-07-17T21:00:00Z,UP,YES,,75.0935,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784322000000,1784322000000,1784322900000,2026-07-17T21:00:00Z,UP,YES,,1.0882,official-venue-resolution,f,f,f,f,f
btc,btc:1784322900000,1784322900000,1784323800000,2026-07-17T21:15:00Z,DOWN,YES,,64143.35,official-venue-resolution,t,t,f,f,f
doge,doge:1784322900000,1784322900000,1784323800000,2026-07-17T21:15:00Z,UP,YES,,0.0728076,official-venue-resolution,f,f,f,f,f
eth,eth:1784322900000,1784322900000,1784323800000,2026-07-17T21:15:00Z,UP,YES,,1844.43,official-venue-resolution,f,f,f,f,f
sol,sol:1784322900000,1784322900000,1784323800000,2026-07-17T21:15:00Z,DOWN,YES,,75.1062,official-venue-resolution,t,t,f,f,f
xrp,xrp:1784322900000,1784322900000,1784323800000,2026-07-17T21:15:00Z,UP,YES,,1.0906,official-venue-resolution,f,f,f,f,f
btc,btc:1784323800000,1784323800000,1784324700000,2026-07-17T21:30:00Z,DOWN,NO,,64064.1,official-venue-resolution,f,f,f,f,f
doge,doge:1784323800000,1784323800000,1784324700000,2026-07-17T21:30:00Z,DOWN,NO,,0.0726565,official-venue-resolution,f,f,f,f,f
eth,eth:1784323800000,1784323800000,1784324700000,2026-07-17T21:30:00Z,DOWN,NO,,1840.91,official-venue-resolution,f,f,f,f,f
sol,sol:1784323800000,1784323800000,1784324700000,2026-07-17T21:30:00Z,DOWN,NO,,74.9405,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784323800000,1784323800000,1784324700000,2026-07-17T21:30:00Z,DOWN,NO,,1.0886,official-venue-resolution,f,f,f,f,f
btc,btc:1784324700000,1784324700000,1784325600000,2026-07-17T21:45:00Z,UP,NO,,64058.92,official-venue-resolution,t,f,t,f,f
doge,doge:1784324700000,1784324700000,1784325600000,2026-07-17T21:45:00Z,DOWN,NO,,0.0726344,official-venue-resolution,f,f,f,f,f
eth,eth:1784324700000,1784324700000,1784325600000,2026-07-17T21:45:00Z,DOWN,YES,,1841.15,official-venue-resolution,t,t,f,f,f
sol,sol:1784324700000,1784324700000,1784325600000,2026-07-17T21:45:00Z,UP,YES,,74.983,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784324700000,1784324700000,1784325600000,2026-07-17T21:45:00Z,DOWN,NO,,1.0882,official-venue-resolution,f,f,f,f,f
btc,btc:1784325600000,1784325600000,1784326500000,2026-07-17T22:00:00Z,DOWN,NO,,64046.88,official-venue-resolution,f,f,f,f,f
doge,doge:1784325600000,1784325600000,1784326500000,2026-07-17T22:00:00Z,DOWN,NO,,0.0724596,official-venue-resolution,f,f,f,f,f
eth,eth:1784325600000,1784325600000,1784326500000,2026-07-17T22:00:00Z,UP,NO,,1841.03,official-venue-resolution,t,f,t,f,f
sol,sol:1784325600000,1784325600000,1784326500000,2026-07-17T22:00:00Z,DOWN,NO,,74.913,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784325600000,1784325600000,1784326500000,2026-07-17T22:00:00Z,DOWN,NO,,1.0877,official-venue-resolution,f,f,f,f,f
btc,btc:1784326500000,1784326500000,1784327400000,2026-07-17T22:15:00Z,DOWN,NO,,63935.43,official-venue-resolution,f,f,f,f,f
doge,doge:1784326500000,1784326500000,1784327400000,2026-07-17T22:15:00Z,DOWN,NO,,0.0724424,official-venue-resolution,f,f,f,f,f
eth,eth:1784326500000,1784326500000,1784327400000,2026-07-17T22:15:00Z,DOWN,NO,,1838.23,official-venue-resolution,f,f,f,f,f
sol,sol:1784326500000,1784326500000,1784327400000,2026-07-17T22:15:00Z,DOWN,NO,,74.8672,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784326500000,1784326500000,1784327400000,2026-07-17T22:15:00Z,UP,NO,,1.0875,official-venue-resolution,t,f,t,f,f
btc,btc:1784327400000,1784327400000,1784328300000,2026-07-17T22:30:00Z,DOWN,NO,,63913.42,official-venue-resolution,f,f,f,f,f
doge,doge:1784327400000,1784327400000,1784328300000,2026-07-17T22:30:00Z,DOWN,NO,,0.0724152,official-venue-resolution,f,f,f,f,f
eth,eth:1784327400000,1784327400000,1784328300000,2026-07-17T22:30:00Z,DOWN,NO,,1837.13,official-venue-resolution,f,f,f,f,f
sol,sol:1784327400000,1784327400000,1784328300000,2026-07-17T22:30:00Z,UP,YES,,74.8987,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784327400000,1784327400000,1784328300000,2026-07-17T22:30:00Z,DOWN,NO,,1.0871,official-venue-resolution,f,f,f,f,f
btc,btc:1784328300000,1784328300000,1784329200000,2026-07-17T22:45:00Z,UP,YES,,63939.24,official-venue-resolution,f,f,f,f,f
doge,doge:1784328300000,1784328300000,1784329200000,2026-07-17T22:45:00Z,UP,YES,,0.0725095,official-venue-resolution,f,f,f,f,f
eth,eth:1784328300000,1784328300000,1784329200000,2026-07-17T22:45:00Z,UP,YES,,1838.58,official-venue-resolution,f,f,f,f,f
sol,sol:1784328300000,1784328300000,1784329200000,2026-07-17T22:45:00Z,UP,YES,,74.9708,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784328300000,1784328300000,1784329200000,2026-07-17T22:45:00Z,UP,YES,,1.0879,official-venue-resolution,f,f,f,f,f
btc,btc:1784329200000,1784329200000,1784330100000,2026-07-17T23:00:00Z,DOWN,NO,,63872.58,official-venue-resolution,f,f,f,f,f
doge,doge:1784329200000,1784329200000,1784330100000,2026-07-17T23:00:00Z,DOWN,NO,,0.0723836,official-venue-resolution,f,f,f,f,f
eth,eth:1784329200000,1784329200000,1784330100000,2026-07-17T23:00:00Z,DOWN,NO,,1835.22,official-venue-resolution,f,f,f,f,f
sol,sol:1784329200000,1784329200000,1784330100000,2026-07-17T23:00:00Z,DOWN,NO,,74.854,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784329200000,1784329200000,1784330100000,2026-07-17T23:00:00Z,DOWN,NO,,1.0868,official-venue-resolution,f,f,f,f,f
btc,btc:1784330100000,1784330100000,1784331000000,2026-07-17T23:15:00Z,UP,YES,,63927.46,official-venue-resolution,f,f,f,f,f
doge,doge:1784330100000,1784330100000,1784331000000,2026-07-17T23:15:00Z,UP,YES,,0.0725542,official-venue-resolution,f,f,f,f,f
eth,eth:1784330100000,1784330100000,1784331000000,2026-07-17T23:15:00Z,UP,YES,,1839.6,official-venue-resolution,f,f,f,f,f
sol,sol:1784330100000,1784330100000,1784331000000,2026-07-17T23:15:00Z,UP,YES,,74.976,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784330100000,1784330100000,1784331000000,2026-07-17T23:15:00Z,UP,YES,,1.0888,official-venue-resolution,f,f,f,f,f
btc,btc:1784331000000,1784331000000,1784331900000,2026-07-17T23:30:00Z,UP,YES,,63944.37,official-venue-resolution,f,f,f,f,f
doge,doge:1784331000000,1784331000000,1784331900000,2026-07-17T23:30:00Z,DOWN,NO,,0.0725111,official-venue-resolution,f,f,f,f,f
eth,eth:1784331000000,1784331000000,1784331900000,2026-07-17T23:30:00Z,UP,YES,,1841.76,official-venue-resolution,f,f,f,f,f
sol,sol:1784331000000,1784331000000,1784331900000,2026-07-17T23:30:00Z,DOWN,YES,,74.9958,official-venue-resolution,t,t,f,f,f
xrp,xrp:1784331000000,1784331000000,1784331900000,2026-07-17T23:30:00Z,UP,YES,,1.0891,official-venue-resolution,f,f,f,f,f
btc,btc:1784331900000,1784331900000,1784332800000,2026-07-17T23:45:00Z,DOWN,NO,,63901.98,official-venue-resolution,f,f,f,f,f
doge,doge:1784331900000,1784331900000,1784332800000,2026-07-17T23:45:00Z,UP,YES,,0.0725181,official-venue-resolution,f,f,f,f,f
eth,eth:1784331900000,1784331900000,1784332800000,2026-07-17T23:45:00Z,DOWN,NO,,1840.87,official-venue-resolution,f,f,f,f,f
sol,sol:1784331900000,1784331900000,1784332800000,2026-07-17T23:45:00Z,DOWN,NO,,74.9832,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784331900000,1784331900000,1784332800000,2026-07-17T23:45:00Z,DOWN,NO,,1.0886,official-venue-resolution,f,f,f,f,f
btc,btc:1784332800000,1784332800000,1784333700000,2026-07-18T00:00:00Z,UP,YES,,63920.62,official-venue-resolution,f,f,f,f,f
doge,doge:1784332800000,1784332800000,1784333700000,2026-07-18T00:00:00Z,UP,YES,,0.0725826,official-venue-resolution,f,f,f,f,f
eth,eth:1784332800000,1784332800000,1784333700000,2026-07-18T00:00:00Z,UP,YES,,1841.88,official-venue-resolution,f,f,f,f,f
sol,sol:1784332800000,1784332800000,1784333700000,2026-07-18T00:00:00Z,UP,YES,,75.1315,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784332800000,1784332800000,1784333700000,2026-07-18T00:00:00Z,UP,YES,,1.0895,official-venue-resolution,f,f,f,f,f
btc,btc:1784333700000,1784333700000,1784334600000,2026-07-18T00:15:00Z,UP,YES,,63958.95,official-venue-resolution,f,f,f,f,f
doge,doge:1784333700000,1784333700000,1784334600000,2026-07-18T00:15:00Z,UP,YES,,0.0726265,official-venue-resolution,f,f,f,f,f
eth,eth:1784333700000,1784333700000,1784334600000,2026-07-18T00:15:00Z,DOWN,YES,,1842.06,official-venue-resolution,t,t,f,f,f
sol,sol:1784333700000,1784333700000,1784334600000,2026-07-18T00:15:00Z,UP,YES,,75.1577,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784333700000,1784333700000,1784334600000,2026-07-18T00:15:00Z,UP,YES,,1.0899,official-venue-resolution,f,f,f,f,f
btc,btc:1784334600000,1784334600000,1784335500000,2026-07-18T00:30:00Z,DOWN,NO,,63883.66,official-venue-resolution,f,f,f,f,f
doge,doge:1784334600000,1784334600000,1784335500000,2026-07-18T00:30:00Z,DOWN,NO,,0.0725296,official-venue-resolution,f,f,f,f,f
eth,eth:1784334600000,1784334600000,1784335500000,2026-07-18T00:30:00Z,DOWN,NO,,1839.91,official-venue-resolution,f,f,f,f,f
sol,sol:1784334600000,1784334600000,1784335500000,2026-07-18T00:30:00Z,DOWN,NO,,75.0543,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784334600000,1784334600000,1784335500000,2026-07-18T00:30:00Z,DOWN,NO,,1.0895,official-venue-resolution,f,f,f,f,f
btc,btc:1784335500000,1784335500000,1784336400000,2026-07-18T00:45:00Z,DOWN,NO,,63870.55,official-venue-resolution,f,f,f,f,f
doge,doge:1784335500000,1784335500000,1784336400000,2026-07-18T00:45:00Z,DOWN,NO,,0.072478,official-venue-resolution,f,f,f,f,f
eth,eth:1784335500000,1784335500000,1784336400000,2026-07-18T00:45:00Z,DOWN,NO,,1839.83,official-venue-resolution,f,f,f,f,f
sol,sol:1784335500000,1784335500000,1784336400000,2026-07-18T00:45:00Z,DOWN,NO,,75.0537,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784335500000,1784335500000,1784336400000,2026-07-18T00:45:00Z,DOWN,NO,,1.088,official-venue-resolution,f,f,f,f,f
btc,btc:1784336400000,1784336400000,1784337300000,2026-07-18T01:00:00Z,UP,YES,,63886.78,official-venue-resolution,f,f,f,f,f
doge,doge:1784336400000,1784336400000,1784337300000,2026-07-18T01:00:00Z,UP,NO,,0.0724734,official-venue-resolution,t,f,t,f,f
eth,eth:1784336400000,1784336400000,1784337300000,2026-07-18T01:00:00Z,DOWN,NO,,1839.56,official-venue-resolution,f,f,f,f,f
sol,sol:1784336400000,1784336400000,1784337300000,2026-07-18T01:00:00Z,DOWN,NO,,75.0465,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784336400000,1784336400000,1784337300000,2026-07-18T01:00:00Z,UP,YES,,1.088,official-venue-resolution,f,f,f,f,f
btc,btc:1784337300000,1784337300000,1784338200000,2026-07-18T01:15:00Z,UP,YES,,63962.19,official-venue-resolution,f,f,f,f,f
doge,doge:1784337300000,1784337300000,1784338200000,2026-07-18T01:15:00Z,UP,YES,,0.0725683,official-venue-resolution,f,f,f,f,f
eth,eth:1784337300000,1784337300000,1784338200000,2026-07-18T01:15:00Z,UP,YES,,1841.86,official-venue-resolution,f,f,f,f,f
sol,sol:1784337300000,1784337300000,1784338200000,2026-07-18T01:15:00Z,UP,YES,,75.1685,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784337300000,1784337300000,1784338200000,2026-07-18T01:15:00Z,UP,YES,,1.0894,official-venue-resolution,f,f,f,f,f
btc,btc:1784338200000,1784338200000,1784339100000,2026-07-18T01:30:00Z,DOWN,NO,,63908.62,official-venue-resolution,f,f,f,f,f
doge,doge:1784338200000,1784338200000,1784339100000,2026-07-18T01:30:00Z,DOWN,NO,,0.072522,official-venue-resolution,f,f,f,f,f
eth,eth:1784338200000,1784338200000,1784339100000,2026-07-18T01:30:00Z,DOWN,NO,,1840.1,official-venue-resolution,f,f,f,f,f
sol,sol:1784338200000,1784338200000,1784339100000,2026-07-18T01:30:00Z,DOWN,NO,,75.1148,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784338200000,1784338200000,1784339100000,2026-07-18T01:30:00Z,DOWN,NO,,1.0882,official-venue-resolution,f,f,f,f,f
btc,btc:1784339100000,1784339100000,1784340000000,2026-07-18T01:45:00Z,UP,YES,,63925.47,official-venue-resolution,f,f,f,f,f
doge,doge:1784339100000,1784339100000,1784340000000,2026-07-18T01:45:00Z,UP,YES,,0.0725428,official-venue-resolution,f,f,f,f,f
eth,eth:1784339100000,1784339100000,1784340000000,2026-07-18T01:45:00Z,UP,YES,,1841.39,official-venue-resolution,f,f,f,f,f
sol,sol:1784339100000,1784339100000,1784340000000,2026-07-18T01:45:00Z,UP,YES,,75.1862,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784339100000,1784339100000,1784340000000,2026-07-18T01:45:00Z,DOWN,YES,,1.0882,official-venue-resolution,t,t,f,f,f
btc,btc:1784340000000,1784340000000,1784340900000,2026-07-18T02:00:00Z,UP,YES,,63929.7,official-venue-resolution,f,f,f,f,f
doge,doge:1784340000000,1784340000000,1784340900000,2026-07-18T02:00:00Z,UP,YES,,0.0725814,official-venue-resolution,f,f,f,f,f
eth,eth:1784340000000,1784340000000,1784340900000,2026-07-18T02:00:00Z,UP,YES,,1842.22,official-venue-resolution,f,f,f,f,f
sol,sol:1784340000000,1784340000000,1784340900000,2026-07-18T02:00:00Z,UP,YES,,75.209,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784340000000,1784340000000,1784340900000,2026-07-18T02:00:00Z,UP,YES,,1.0888,official-venue-resolution,f,f,f,f,f
btc,btc:1784340900000,1784340900000,1784341800000,2026-07-18T02:15:00Z,UP,YES,,63958.16,official-venue-resolution,f,f,f,f,f
doge,doge:1784340900000,1784340900000,1784341800000,2026-07-18T02:15:00Z,UP,YES,,0.0726836,official-venue-resolution,f,f,f,f,f
eth,eth:1784340900000,1784340900000,1784341800000,2026-07-18T02:15:00Z,UP,YES,,1843.22,official-venue-resolution,f,f,f,f,f
sol,sol:1784340900000,1784340900000,1784341800000,2026-07-18T02:15:00Z,UP,YES,,75.2937,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784340900000,1784340900000,1784341800000,2026-07-18T02:15:00Z,UP,YES,,1.0903,official-venue-resolution,f,f,f,f,f
btc,btc:1784341800000,1784341800000,1784342700000,2026-07-18T02:30:00Z,DOWN,NO,,63931.52,official-venue-resolution,f,f,f,f,f
doge,doge:1784341800000,1784341800000,1784342700000,2026-07-18T02:30:00Z,DOWN,NO,,0.0726028,official-venue-resolution,f,f,f,f,f
eth,eth:1784341800000,1784341800000,1784342700000,2026-07-18T02:30:00Z,DOWN,NO,,1841.94,official-venue-resolution,f,f,f,f,f
sol,sol:1784341800000,1784341800000,1784342700000,2026-07-18T02:30:00Z,DOWN,NO,,75.2718,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784341800000,1784341800000,1784342700000,2026-07-18T02:30:00Z,DOWN,NO,,1.0896,official-venue-resolution,f,f,f,f,f
btc,btc:1784342700000,1784342700000,1784343600000,2026-07-18T02:45:00Z,DOWN,NO,,63922.2,official-venue-resolution,f,f,f,f,f
doge,doge:1784342700000,1784342700000,1784343600000,2026-07-18T02:45:00Z,DOWN,NO,,0.0725296,official-venue-resolution,f,f,f,f,f
eth,eth:1784342700000,1784342700000,1784343600000,2026-07-18T02:45:00Z,DOWN,NO,,1841.21,official-venue-resolution,f,f,f,f,f
sol,sol:1784342700000,1784342700000,1784343600000,2026-07-18T02:45:00Z,DOWN,NO,,75.189,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784342700000,1784342700000,1784343600000,2026-07-18T02:45:00Z,UP,YES,,1.0898,official-venue-resolution,f,f,f,f,f
btc,btc:1784343600000,1784343600000,1784344500000,2026-07-18T03:00:00Z,UP,YES,,63929.9,official-venue-resolution,f,f,f,f,f
doge,doge:1784343600000,1784343600000,1784344500000,2026-07-18T03:00:00Z,UP,YES,,0.0726272,official-venue-resolution,f,f,f,f,f
eth,eth:1784343600000,1784343600000,1784344500000,2026-07-18T03:00:00Z,UP,YES,,1841.39,official-venue-resolution,f,f,f,f,f
sol,sol:1784343600000,1784343600000,1784344500000,2026-07-18T03:00:00Z,UP,YES,,75.2,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784343600000,1784343600000,1784344500000,2026-07-18T03:00:00Z,UP,YES,,1.0898,official-venue-resolution,f,f,f,f,f
btc,btc:1784344500000,1784344500000,1784345400000,2026-07-18T03:15:00Z,DOWN,NO,,63917.82,official-venue-resolution,f,f,f,f,f
doge,doge:1784344500000,1784344500000,1784345400000,2026-07-18T03:15:00Z,DOWN,NO,,0.0725372,official-venue-resolution,f,f,f,f,f
eth,eth:1784344500000,1784344500000,1784345400000,2026-07-18T03:15:00Z,UP,YES,,1842.35,official-venue-resolution,f,f,f,f,f
sol,sol:1784344500000,1784344500000,1784345400000,2026-07-18T03:15:00Z,DOWN,NO,,75.132,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784344500000,1784344500000,1784345400000,2026-07-18T03:15:00Z,DOWN,NO,,1.0892,official-venue-resolution,f,f,f,f,f
btc,btc:1784345400000,1784345400000,1784346300000,2026-07-18T03:30:00Z,DOWN,NO,,63905.32,official-venue-resolution,f,f,f,f,f
doge,doge:1784345400000,1784345400000,1784346300000,2026-07-18T03:30:00Z,UP,YES,,0.0725666,official-venue-resolution,f,f,f,f,f
eth,eth:1784345400000,1784345400000,1784346300000,2026-07-18T03:30:00Z,DOWN,NO,,1842.11,official-venue-resolution,f,f,f,f,f
sol,sol:1784345400000,1784345400000,1784346300000,2026-07-18T03:30:00Z,UP,YES,,75.2012,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784345400000,1784345400000,1784346300000,2026-07-18T03:30:00Z,UP,NO,,1.0888,official-venue-resolution,t,f,t,f,f
btc,btc:1784346300000,1784346300000,1784347200000,2026-07-18T03:45:00Z,UP,YES,,63981.64,official-venue-resolution,f,f,f,f,f
doge,doge:1784346300000,1784346300000,1784347200000,2026-07-18T03:45:00Z,UP,YES,,0.0726346,official-venue-resolution,f,f,f,f,f
eth,eth:1784346300000,1784346300000,1784347200000,2026-07-18T03:45:00Z,UP,YES,,1844.84,official-venue-resolution,f,f,f,f,f
sol,sol:1784346300000,1784346300000,1784347200000,2026-07-18T03:45:00Z,UP,YES,,75.328,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784346300000,1784346300000,1784347200000,2026-07-18T03:45:00Z,UP,YES,,1.0896,official-venue-resolution,f,f,f,f,f
btc,btc:1784347200000,1784347200000,1784348100000,2026-07-18T04:00:00Z,DOWN,NO,,63958.02,official-venue-resolution,f,f,f,f,f
doge,doge:1784347200000,1784347200000,1784348100000,2026-07-18T04:00:00Z,DOWN,NO,,0.0725635,official-venue-resolution,f,f,f,f,f
eth,eth:1784347200000,1784347200000,1784348100000,2026-07-18T04:00:00Z,DOWN,NO,,1843.67,official-venue-resolution,f,f,f,f,f
sol,sol:1784347200000,1784347200000,1784348100000,2026-07-18T04:00:00Z,DOWN,NO,,75.2272,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784347200000,1784347200000,1784348100000,2026-07-18T04:00:00Z,DOWN,NO,,1.0894,official-venue-resolution,f,f,f,f,f
btc,btc:1784348100000,1784348100000,1784349000000,2026-07-18T04:15:00Z,DOWN,NO,,63947.86,official-venue-resolution,f,f,f,f,f
doge,doge:1784348100000,1784348100000,1784349000000,2026-07-18T04:15:00Z,DOWN,NO,,0.0725249,official-venue-resolution,f,f,f,f,f
